ふるなじみ,へれにずむ
はくあけい,ひけいこう
ていけいか,とうこうき
ひていけい,ふとうこう
へいさせい,ほうしそう
びしびし,ぶすぶす
しまじま,すみずみ
いらいら,うりうり
いりいり,うるうる
あっぱー,いっぴー
いじいじ,うずうず
ぴりぴり,ぷるぷる
えいけい,おうこう
てきせい,とくそう
てきへい,とくほう
おじおじ,かずかず
あきさめ,いくしも
そばとる,たびなれ
からかじ,きりきず
むらむら,めりめり
きらきら,くりくり
ぜいせき,ぞうそく
ゆさゆさ,よしよし
てきてき,とくとく
そろそろ,たわたわ
めっかち,もっきつ
れいがん,ろうぎあ
へいせい,ほうそう
のっぺい,はっぽう
あらじま,いりずみ
まじかる,みずきれ
ていふか,とうへき
へいえい,ほうおう
ちびちび,つぶつぶ
とんとん,なあなあ
ぱーそー,ぴーたー
へいべい,ほうぼう
からのき,きりはく
うーさー,えーしー
つけつけ,てこてこ
へいげい,ほうごう
ぶっせい,べっそう
ぜいせい,ぞうそう
ぜいめい,ぞうもう
うけいれ,えこうろ
ばたばた,びちびち
せいれい,そうろう
ぎしぎし,ぐすぐす
せいけい,そうこう
やいやい,ゆうゆう
えいえい,おうおう
でれでれ,どろどろ
ぺたぺた,ぽちぽち
けいえい,こうおう
さめざめ,しもじも
こっけい,さっこう
ぶちぶち,べつべつ
めいせい,もうそう
ひれあし,ふろいす
おちおち,かつかつ
うりうり,えるえる
あらあら,いりいり
へーらー,ほーりー
しいてき,すうとく
ぶよぶよ,べらべら
びちびち,ぶつぶつ
ざらざら,じりじり
りーまー,るーみー
れいめい,ろうもう
めいめい,もうもう
あっせい,いっそう
ぱたぱた,ぴちぴち
けいてい,こうとう
ばさばさ,びしびし
げいげい,ごうごう
むちむち,めつめつ
むかむか,めきめき
せきせき,そくそく
れいけい,ろうこう
たらたら,ちりちり
えいれい,おうろう
ぱらぱら,ぴりぴり
たよたよ,ちらちら
はってい,ひっとう
えいせい,おうそう
いってい,うっとう
めいれい,もうろう
えきれい,おくろう
せいめい,そうもう
べっけい,ぼっこう
せいせき,そうそく
せきえい,そくおう
みなみな,むにむに
はめいた,ひもうち
へいめい,ほうもう
とってい,なっとう
きよきよ,くらくら
ほうほう,まえまえ
はかいし,ひきうす
けいげい,こうごう
ばきばき,びくびく
げたげた,ごちごち
さむざむ,しめじめ
さんそー,しあたー
しくしく,すけすけ
ぜいぜい,ぞうぞう
ひきさき,ふくしく
こうごう,さえざえ
つちせい,てつそう
かせつか,きそてき
ひそひそ,ふたふた
へいけい,ほうこう
いっせい,うっそう
けいえき,こうおく
ひらひら,ふりふり
ていげき,とうごく
はーれー,ひーろー
れきせい,ろくそう
ぷよぷよ,ぺらぺら
からおび,きりかぶ
げらげら,ごりごり
きっせき,くっそく
まれまれ,みろみろ
ぱきぱき,ぴくぴく
せいえき,そうおく
ぎらぎら,ぐりぐり
れいれい,ろうろう
かたかた,きちきち
ひっけい,ふっこう
へいえき,ほうおく
けいれき,こうろく
めいれき,もうろく
あかあか,いきいき
ていせき,とうそく
きりきり,くるくる
がらがら,ぎりぎり
ちろちろ,つわつわ
しげしげ,すごすご
へいへい,ほうほう
やきやき,ゆくゆく
せいぜい,そうぞう
あきあき,いくいく
ぶらぶら,べりべり
ていせい,とうそう
まめぞう,みもだえ
きれぎれ,くろぐろ
しかじか,すきずき
そばそば,たびたび
もしもし,やすやす
いしおか,うすかき
げきれい,ごくろう
ちかぢか,つきづき
すけすけ,せこせこ
めつめつ,もてもて
あーさー,いーしー
みるみる,むれむれ
ころころ,さわさわ
ゆいげさ,ようごし
せきれい,そくろう
ひよひよ,ふらふら
れいてい,ろうとう
ぎちぎち,ぐつぐつ
うかうか,えきえき
せいそく,そうたけ
はっけい,ひっこう
すりばん,せるびあ
ゆいめい,ようもう
せいれき,そうろく
けいせい,こうそう
はあはあ,ひいひい
そうぞう,たえだえ
おまねき,かみのく
すーそー,せーたー
じくじく,ずけずけ
あさじう,いしずえ
ごーごー,ざーざー
あめりあ,いもるい
けいめい,こうもう
れっかー,ろっきー
けっぺい,こっぽう
らっけい,りっこう
えすえす,おせおせ
せきてい,そくとう
のんのん,はあはあ
あっけい,いっこう
けらけら,こりこり
えいべい,おうぼう
